D5-Q#,Status,Issue,Fix
Q1,✅ Approved,,
Q2,✅ Approved,,
Q3,✅ Approved,,
Q4,✅ Approved,"Near-duplicate of Q64 (comprehensive exam)",
Q5,✅ Approved,,
Q6,✅ Approved,,
Q7,✅ Approved,,
Q8,✅ Approved,,
Q9,✅ Approved,,
Q10,✅ Approved,,
Q11,✅ Approved,,
Q12,✅ Approved,,
Q13,✅ Approved,,
Q14,✅ Approved,,
Q15,✅ Approved,,
Q16,✅ Approved,,
Q17,✅ Approved,,
Q18,✅ Approved,,
Q19,✅ Approved,,
Q20,✅ Approved,,
Q21,✅ Approved,,
Q22,📝 Typo,"'includes book' should be plural","'includes book, articles' → 'includes books, articles'"
Q23,📝 Grammar,"'includes utilizes' — double verb","'What type of research includes utilizes secondary sources' → 'What type of research utilizes secondary sources'"
Q24,✅ Approved,"Near-duplicate of Q61 (comprehensive exam)",
Q25,✅ Approved,,
Q26,✅ Approved,,
Q27,✅ Approved,,
Q28,✅ Approved,,
Q29,✅ Approved,,
Q30,✅ Approved,,
Q31,✅ Approved,"Says 'general principles' — correct per Toulmin model",
Q32,✅ Approved,,
Q33,✅ Approved,,
Q34,✅ Approved,,
Q35,✅ Approved,,
Q36,✅ Approved,"Near-duplicate of Q63 (comprehensive exam)",
Q37,✅ Approved,,
Q38,✅ Approved,,
Q39,✅ Approved,,
Q40,✅ Approved,,
Q41,✅ Approved,,
Q42,✅ Approved,,
Q43,✅ Approved,,
Q44,✅ Approved,,
Q45,✅ Approved,,
Q46,📝 Typo,"'same change of being' — wrong word","'same change of being placed' → 'same chance of being placed'"
Q47,✅ Approved,,
Q48,✅ Approved,,
Q49,✅ Approved,,
Q50,✅ Approved,,
Q51,🟡 Ambiguous,"Says 'Specific principles' but Q31 says 'general principles' for same concept (warrants). Toulmin model says general. Internal inconsistency.","Consider changing 'Specific' → 'General' to match Q31 and Toulmin model"
Q52,✅ Approved,,
Q53,✅ Approved,,
Q54,✅ Approved,,
Q55,✅ Approved,,
Q56,✅ Approved,,
Q57,✅ Approved,,
Q58,📝 Structural,"Has 'Option 3' placeholder on T/F question","Remove 'Option 3' — should be True/False only"
Q59,✅ Approved,,
Q60,📝 Structural,"Has 'Option 3' placeholder on T/F question","Remove 'Option 3' — should be True/False only"
Q61,✅ Approved,"Near-duplicate of Q24",
Q62,✅ Approved,,
Q63,✅ Approved,"Near-duplicate of Q36",
Q64,✅ Approved,"Near-duplicate of Q4 — note: Q64 has correct apostrophe 'Researchers'' vs Q4 'Researchers'",
Q65,✅ Approved,"Block quote rule: '3 lines; 40 words' — 40 words matches APA 7th ed. 3 lines is non-standard but defensible.",
Q66,✅ Approved,,
