D1_Index,Question_Text_Truncated,Status,Issue_Type,Issue_Detail
D1-Q0,Which of the following is not an antioxidant?,APPROVED,,
D1-Q1,What key mitochondrial nutrient that is needed to manufacture energy within cell,APPROVED,,
D1-Q2,Which nutrient in particular is vital for the health of the colon?,APPROVED,,
D1-Q3,Carotenes are a precursor for which nutrient?,APPROVED,,
D1-Q4,_________ is the plant compound (phytonutrient) that is found in the skin of gra,APPROVED,,
D1-Q5,"Which fatty acid, promotes inflammation through its associated eicosanoids?",APPROVED,,
D1-Q6,Which fatty acids reduces inflammation through its associated eicosanoids?,APPROVED,,
D1-Q7,"Stachyose, verbascose, and raffinose in beans are which type of carbohydrate?",APPROVED,,
D1-Q8,Which of the following fiber types have low fermentability?,TYPO,TYPO,Option C 'Mucilage's' → 'Mucilages'
D1-Q9,Which of the following plant foods has the largest amount of fat?,TYPO,TYPO,Option B '1 mediums sweet potato' → '1 medium sweet potato'
D1-Q10,Which of the following foods is not high in pectin?,APPROVED,,
D1-Q11,What is the best source for optimal nutrition?,APPROVED,,
D1-Q12,Which of the following is false?,APPROVED,,
D1-Q13,Which of the following is not one of the components of holistic nutrition and ho,APPROVED,,
D1-Q14,Which nutrient is known for neutralizing free radicals and is found in colorful ,APPROVED,,
D1-Q15,Which class of herbs primarily help to support the adrenal glands and stress?,APPROVED,,
D1-Q16,The thousands of bioactive chemical compounds found in plants that provide prote,APPROVED,,
D1-Q17,Which of the following is considered an anti-nutrient?,APPROVED,,
D1-Q18,What is the part of plants that is unable to be digested and therefore passes th,APPROVED,,
D1-Q19,___________ are considered a catalyst for chemical reactions in the body,APPROVED,,
D1-Q20,"Are whole fruits, vegetables, and legumes considered acidic or alkaline on the p",APPROVED,,
D1-Q21,Are meats considered alkaline or acidic on the pH scale?,APPROVED,,
D1-Q22,"When dietary protein is digested, it is broken down into what type of molecule t",APPROVED,,
D1-Q23,Which of the following best describes what the word “essential” means when it re,APPROVED,,
D1-Q24,How many amino acids are considered essential and must be obtained from the diet,APPROVED,,
D1-Q25,Which polyunsaturated fatty acid is considered essential?,APPROVED,,
D1-Q26,Which of the following is not a source of all the essential amino acids?,APPROVED,,
D1-Q27,What is considered a “complete” protein?,APPROVED,,
D1-Q28,What is the term used to describe nonessential amino acids that are “Essential” ,APPROVED,,
D1-Q29,"Which of the following is a precursor to the antioxidant, glutathione?",APPROVED,,
D1-Q30,Which of the following foods would be best for supporting phase 2 detoxification,APPROVED,,
D1-Q31,Which nutrients are needed to support phase 1 detoxification?,APPROVED,,
D1-Q32,Which does not slow down the absorption of sugar into the bloodstream?,APPROVED,,
D1-Q33,A baked potato has a higher glycemic index than a boiled sweet potato.,APPROVED,,
D1-Q34,What occurs during the process of refining carbohydrates that causes them to neg,APPROVED,,
D1-Q35,Which classification of saccharides contains 1 sugar unit?,APPROVED,,
D1-Q36,Which classification of saccharides contains 2 sugar units?,APPROVED,,
D1-Q37,Which classification of saccharides contains more than 10 sugar units?,APPROVED,,
D1-Q38,____________ is the term used to describe ingredients or a protein in food that ,APPROVED,,
D1-Q39,Which of the following is not one of the 9 main food allergens?,APPROVED,,
D1-Q40,"Which of the following is present for true allergies and can cause hives, troubl",APPROVED,,
D1-Q41,Which of the following is a type of food reaction and signifies delayed hypersen,APPROVED,,
D1-Q42,What is the term used to describe living microorganisms that provide a known hea,APPROVED,,
D1-Q43,What is a substrate that provides a known health benefit such as increasing the ,APPROVED,,
D1-Q44,"While fiber is commonly recognized as the primary source of prebiotics, ________",APPROVED,,
D1-Q45,Most often lactose intolerance is due to a lack of what enzyme?,APPROVED,,
D1-Q46,What is the name given to a group of proteins found in high amounts in legumes a,APPROVED,,
D1-Q47,Which of the following is true about dietary supplements?,APPROVED,,
D1-Q48,Consuming which types of foods can best prevent exposure to harmful chemicals?,APPROVED,,
D1-Q49,___________is about making mindful food choices that are good for both our bodie,APPROVED,,
D1-Q50,"Which chemical is often found in plastic, canned goods, and paper receipts?",APPROVED,,
D1-Q51,______________ can significantly impact our food choices and overall approach to,APPROVED,,
D1-Q52,A(n) __________ diet is essential for overall health and well-being. It refers t,APPROVED,,
D1-Q53,"To ensure a balanced diet, it is important to pay attention to which of the foll",APPROVED,,
D1-Q54,What type of nutrients are the main sources of energy for the human body and are,APPROVED,,
D1-Q55,"___________ provide the body with glucose, which is used as fuel for the brain a",APPROVED,,
D1-Q56,"____________ are important for building and repairing tissues in the body, inclu",APPROVED,,
D1-Q57,"___________ are a source of energy and play a role in hormone production, cell f",APPROVED,,
D1-Q58,"Vitamins, minerals, and trace elements are classified as ____________",APPROVED,,
D1-Q59,Which of the following nutrients helps to support the absorption of calcium?,APPROVED,,
D1-Q60,Which micronutrient competes with zinc for absorption?,APPROVED,,
D1-Q61,Which of the following is not true about micronutrients that are crucial for sup,APPROVED,,
D1-Q62,"Adequate fluid intake is essential for regulating body temperature, transporting",APPROVED,,
D1-Q63,Which of the following are true regarding hydration?,APPROVED,,
D1-Q64,"Choose the best answer: Which nutrient plays an important role in digestion, pre",APPROVED,,
D1-Q65,"_________ fiber, found in foods like whole grains, nuts, and vegetables, helps t",APPROVED,,
D1-Q66,Which of the following is not a strategy to promote healthy portion control?,APPROVED,,
D1-Q67,"Portion size should be individualized based on which factors such as age, gender",TYPO,TYPO,Option A 'gener' → 'gender'
D1-Q68,Which vitamin is essential for vision and immune function?,APPROVED,,
D1-Q69,Which group of vitamins is known for support energy metabolism from food?,TYPO,TYPO,'support energy' → 'supporting energy'
D1-Q70,Which B vitamins is especially important for its role in supporting the nervous ,TYPO,TYPO,'vitamins is' → 'vitamin is'
D1-Q71,"Which nutrient deficiency can lead to night blindness, impaired immune function,",APPROVED,,
D1-Q72,Deficiency of which B vitamin can lead to hair loss?,APPROVED,,
D1-Q73,Which antioxidant plays an important role in collagen synthesis?,APPROVED,,
D1-Q74,"Which vitamin is commonly found in nuts, seeds, and green leafy vegetables and s",APPROVED,,
D1-Q75,Which form of iron found in food is most bioavaible?,TYPO,TYPO,'bioavaible' → 'bioavailable'
D1-Q76,What are sources of heme iron?,AMBIGUOUS,AMBIGUOUS,Eggs listed as heme iron source — eggs are predominantly non-heme
D1-Q77,What are food sources of non-heme iron?,APPROVED,,
D1-Q78,Which electrolyte is known for contributing to elevated blood pressure if consum,APPROVED,,
D1-Q79,Which nutrient is important for red blood cell formation and oxygen transport?,APPROVED,,
D1-Q80,The Recommended Dietary Allowance (RDA) for protein is _________ grams per kilog,APPROVED,,
D1-Q81,"Consuming too much protein can also have negative health effects, including whic",APPROVED,,
D1-Q82,Which of the following would be the best option to help someone increase their d,APPROVED,,
D1-Q83,Which of the following foods would be the best source to help someone increase t,APPROVED,,
D1-Q84,"Fats serve several vital functions in the body, including which of the following",APPROVED,,
D1-Q85,The Dietary Guidelines for Americans recommend that carbohydrates should contrib,APPROVED,,
D1-Q86,Which macronutrient provides the body with a quick source of fuel?,APPROVED,,
D1-Q87,These fats are typically solid at room temperature and are mainly found in anima,APPROVED,,
D1-Q88,These fats are liquid at room temperature and are primarily derived from plant-b,APPROVED,,
D1-Q89,Which of the following is not a category of unsaturated fats?,APPROVED,,
D1-Q90,Omega 3 and omega 6 fatty acids are classified as which of the following:,APPROVED,,
D1-Q91,"These fats are created through the process of hydrogenation, which solidifies li",APPROVED,,
D1-Q92,Which of the following is considered an essential fat?,APPROVED,,
D1-Q93,Which of the following would be the best source of antioxidants?,APPROVED,,
D1-Q94,Which set of nutrients are considered antioxidants?,APPROVED,,
D1-Q95,Unstable molecules that can damage cells and contribute to the development of ch,TYPO,TYPO,Option A 'radicaals' → 'radicals'
D1-Q96,"While there is no recommended daily intakes for antioxidants, what is the minimu",TYPO,TYPO,Option C 'serviings' → 'servings'
D1-Q97,Bioactive compounds found in plants. They are responsible for the vibrant colors,APPROVED,,
D1-Q98,Which phytonutrients are commonly found in orange and yellow fruits and vegetabl,APPROVED,,
D1-Q99,"These foods are cultivated without the use of synthetic pesticides, herbicides, ",APPROVED,,
D1-Q100,Which therapeutic food contains sulfur compounds that contribute to its potentia,APPROVED,,
D1-Q101,Which of the following is an example of a probiotic rich fermented food?,APPROVED,,
D1-Q102,Which food is commonly known for its high amounts of polyphenols knowns as catec,APPROVED,,
D1-Q103,Which phytonutrients is commonly known for supporting eye health?,APPROVED,,
D1-Q104,"Which types of vegetables are rich in glucosinolates, which are sulfur-containin",APPROVED,,
D1-Q105,Which of the following foods is not considered a high oxalate food?,APPROVED,,
D1-Q106,Which of the following foods is not considered a low oxalate vegetable?,APPROVED,,
D1-Q107,Essential fatty acids are converted into compounds known as,APPROVED,,
D1-Q108,Which compound is needed to make bile acids and many hormones?,APPROVED,,
D1-Q109,Which nutrient is found in carrots and sweet potatoes and supports immune system,APPROVED,,
D1-Q110,Which nutrient is found in fatty fish and supports calcium absorption and insuli,APPROVED,,
D1-Q111,Cholecalciferol is the preferred form of vitamin D supplementation.,APPROVED,,
D1-Q112,Which fat soluble vitamin serves as an antioxidant and prevents the formation of,APPROVED,,
D1-Q113,Which form of vitamin K is synthesized by bacteria in the GI tract?,APPROVED,,
D1-Q114,Which form of vitamin K is synthesized by plants?,APPROVED,,
D1-Q115,Which nutrient enhances non heme iron absorption?,APPROVED,,
D1-Q116,Which nutrient supports proper blood clotting and bone metabolism?,APPROVED,,
D1-Q117,Excessive amounts of alcohol can lead to a deficiency in this water soluble nutr,APPROVED,,
D1-Q118,This B vitamin is especially important for neurotransmitter synthesis.,APPROVED,,
D1-Q119,This B vitamin plays a role in the synthesis of fatty acids and breakdown of ami,APPROVED,,
D1-Q120,Which nutrient is important to supplement alongside B12?,APPROVED,,
D1-Q121,Which nutrient can help prevent neural tube defects in developing babies?,APPROVED,,
D1-Q122,Cobalamin is the name given to which B vitamin that is crucial for DNA synthesis,APPROVED,,
D1-Q123,"When supplementing, calcium should not be taken in divided doses throughout the ",APPROVED,,
D1-Q124,Which is the active and absorbable form of iron?,APPROVED,,
D1-Q125,Which food source contains ferric iron?,APPROVED,,
D1-Q126,Which food source contains ferrous iron?,APPROVED,,
D1-Q127,Which name is used to describe non heme iron found in plants?,APPROVED,,
D1-Q128,Which name is used to describe heme iron found in meat?,APPROVED,,
D1-Q129,Which nutrient is involved in over 300 metabolic reactions and is found in dark ,APPROVED,,
D1-Q130,Which nutrient can interfere with the bioavailability of copper when taken in do,APPROVED,,
D1-Q131,Which nutrients is needed to support the conversation of thyroid hormone into it,TYPO,TYPO,'conversation' → 'conversion'
D1-Q132,Which food sources if rich in selenium?,TYPO,TYPO,'sources if rich' → 'source is rich'
D1-Q133,Which nutrient it needed for the synthesis of thyroid hormone?,TYPO,TYPO,'nutrient it needed' → 'nutrient is needed'
D1-Q134,Which can help to reduce goitrogens in food?,APPROVED,,
D1-Q135,Which of the following food groups is the best source of iodine?,APPROVED,,
D1-Q136,__________ is required for normal iron metabolism and red blood cell formation. ,TYPO,TYPO,Option B 'Calccium' → 'Calcium'
D1-Q137,This electrolyte works in balance with sodium for fluid regulation and is essent,APPROVED,,
D1-Q138,Ground beef should be cooked to what internal temperature?,APPROVED,,
D1-Q139,Which of the following is a method or preventing foodborne illness?,APPROVED,,
D1-Q140,Which of the following terms describes the use of ionizing radiation on food to ,APPROVED,,
D1-Q141,The term used to describe how the genes of plants or animals have been changed i,APPROVED,,
D1-Q142,Food additives are used either to prevent foods' spoiling or to enhance their fl,APPROVED,,
D1-Q143,"Which food additive has been shown to induce asthma, hives, and other allergic r",APPROVED,,
D1-Q144,Which of the following is not a common artificial sweetener?,APPROVED,,
D1-Q145,Consuming which types of foods can help to reduce one's exposure to pesticide re,APPROVED,,
D1-Q146,The building blocks of all protein are _________.,APPROVED,,
D1-Q147,The RDA for protein needed per day for an adult is __________.,APPROVED,,
D1-Q148,Which of the following conditions or situations requires additional protein per ,APPROVED,,
D1-Q149,Which of the following is an essential amino acid?,APPROVED,,
D1-Q150,Which of the following is a non-essential amino acid?,APPROVED,,
D1-Q151,A complete protein source is one that provides all of the nine essential amino a,APPROVED,,
D1-Q152,Which of the following is considered a complete protein source?,APPROVED,,
D1-Q153,Which amino acid plays a particular role in the production of nitric oxide and r,APPROVED,,
D1-Q154,Which amino acid serves as the fuel for cells lining the intestines and for prop,APPROVED,,
D1-Q155,Which of the following is not a simple sugar?,APPROVED,,
D1-Q156,"Sucrose, maltose and lactose are all examples of ____________.",APPROVED,,
D1-Q157,The ______________ provides a numerical value that expresses the rise in blood g,APPROVED,,
D1-Q158,The fermentation of dietary fiber produces all of the following except _________,APPROVED,,
D1-Q159,Consuming a diet high in ________________ can cause cell membranes to become les,APPROVED,,
D1-Q160,_______________ means that a hydrogen molecule is added to the natural unsaturat,APPROVED,,
D1-Q161,Essential fatty acids are transformed into regulatory compounds known as _______,TYPO,TYPO,Option A 'Phopholipids' → 'Phospholipids'
D1-Q162,_______________ is the predominant form of fat in our cell membranes.,APPROVED,,
D1-Q163,__________ is responsible for transporting fats from the liver to body cells.,APPROVED,,
D1-Q164,_______________ is responsible for returning fat to the liver for use as energy ,APPROVED,,
D1-Q165,Which is referred to as the cardiac risk factor ratios because they reflect whet,APPROVED,,
D1-Q166,Which of the following is not true regarding fat soluble vitamins?,APPROVED,,
D1-Q167,"Which of the following is not true regarding the ""Recommended Dietary Allowance ",APPROVED,,
D1-Q168,Which of the following is used when the RDA cannot be determined?,APPROVED,,
D1-Q169,Disorders of the liver or kidneys can lead to impaired conversion of which fat s,APPROVED,,
D1-Q170,Alpha-tocopherol is the chemical name for which fat soluble vitamin that serves ,APPROVED,,
D1-Q171,Vitamin ______ is found in green leafy vegetables and may be one of the protecti,APPROVED,,
D1-Q172,Night blindness or poor dark adaptations is an early consequence of which vitami,APPROVED,,
D1-Q173,Early ______________ deficiency is characterized by cracking of the lips and cor,TYPO,TYPO,'icthing' → 'itching'
D1-Q174,_______________ deficiency is results in a syndrome known as beriberi where symp,TYPO,TYPO,'deficiency is results in' → 'deficiency results in'
D1-Q175,Which B vitamin can be made from tryptophan?,APPROVED,,
D1-Q176,________________ deficiency can lead to pellagra which is characterized by the t,APPROVED,,
D1-Q177,Vitamin B1 is known as _________________,APPROVED,,
D1-Q178,Vitamin B2 is known as _________________,APPROVED,,
D1-Q179,Vitamin B3 is known as __________________,APPROVED,,
D1-Q180,B5 is known as ___________________,TYPO,TYPO,Option B 'Cobalmin' → 'Cobalamin'
D1-Q181,Vitamin B9 is known as _______________,APPROVED,,
D1-Q182,B12 is known as __________________,APPROVED,,
D1-Q183,B6 is known as _______________,APPROVED,,
D1-Q184,Deficiency of which B vitamin is linked to depression due to its vital role in n,APPROVED,,
D1-Q185,Which B vitamin is crucial for cell division and the production of red blood cel,APPROVED,,
D1-Q186,Neural tube defects is linked to a deficiency in which B vitamin?,APPROVED,,
D1-Q187,A deficiency in B12 will result in a _______________ deficiency.,APPROVED,,
D1-Q188,Which of the following is the best source of biotin?,APPROVED,,
D1-Q189,Which of the following is the best source of folic acid?,APPROVED,,
D1-Q190,Which of the following is the best source of B6?,APPROVED,,
D1-Q191,Which of the following is the best source of pantothenic acid?,APPROVED,,
D1-Q192,What is the best source of niacin?,APPROVED,,
D1-Q193,What is the best source of riboflavin?,APPROVED,,
D1-Q194,What is the best source of thiamin?,APPROVED,,
D1-Q195,What is the best source of B12?,APPROVED,,
D1-Q196,What is the best source of choline?,APPROVED,,
D1-Q197,"Without _____________ fats become trapped in the liver. Therefore, this nutrient",APPROVED,,
D1-Q198,Which water soluble vitamin supports the production of collagen?,APPROVED,,
D1-Q199,What is the most abundant mineral in the body?,APPROVED,,
D1-Q200,"Which mineral supports muscle contracts, the regulation of heartbeat, and buildi",APPROVED,,
D1-Q201,__________ deficiency in children may lead to rickets.,APPROVED,,
D1-Q202,Which of the following foods has the highest concentration of calcium?,APPROVED,,
D1-Q203,Low protein foods are generally high in phosphorous.,APPROVED,,
